Reporting Period,ID RSSD,UBPR2746
3/31/2022 11:59:59 PM,53051,0
3/31/2022 11:59:59 PM,54058,0
3/31/2022 11:59:59 PM,54656,0
3/31/2022 11:59:59 PM,54973,48123
3/31/2022 11:59:59 PM,55336,0
3/31/2022 11:59:59 PM,55635,0
3/31/2022 11:59:59 PM,55653,0
3/31/2022 11:59:59 PM,55970,0
3/31/2022 11:59:59 PM,56258,0
3/31/2022 11:59:59 PM,56351,4879
3/31/2022 11:59:59 PM,56548,0
3/31/2022 11:59:59 PM,56717,0
3/31/2022 11:59:59 PM,57040,0
3/31/2022 11:59:59 PM,57451,0
3/31/2022 11:59:59 PM,58225,0
3/31/2022 11:59:59 PM,58243,0
3/31/2022 11:59:59 PM,58355,0
3/31/2022 11:59:59 PM,58551,0
3/31/2022 11:59:59 PM,58636,181
3/31/2022 11:59:59 PM,58757,0
3/31/2022 11:59:59 PM,58971,68172
3/31/2022 11:59:59 PM,59316,0
3/31/2022 11:59:59 PM,59352,0
3/31/2022 11:59:59 PM,59370,0
3/31/2022 11:59:59 PM,59754,0
3/31/2022 11:59:59 PM,60143,1436000
3/31/2022 11:59:59 PM,60330,1
3/31/2022 11:59:59 PM,60545,0
3/31/2022 11:59:59 PM,60554,0
3/31/2022 11:59:59 PM,60648,0
3/31/2022 11:59:59 PM,61122,8683
3/31/2022 11:59:59 PM,61355,0
3/31/2022 11:59:59 PM,61476,0
3/31/2022 11:59:59 PM,61757,0
3/31/2022 11:59:59 PM,61832,0
3/31/2022 11:59:59 PM,61953,0
3/31/2022 11:59:59 PM,62044,0
3/31/2022 11:59:59 PM,62110,0
3/31/2022 11:59:59 PM,62147,0
3/31/2022 11:59:59 PM,63050,0
3/31/2022 11:59:59 PM,63069,953444
3/31/2022 11:59:59 PM,63201,0
3/31/2022 11:59:59 PM,63573,0
3/31/2022 11:59:59 PM,63733,0
3/31/2022 11:59:59 PM,63742,274
3/31/2022 11:59:59 PM,64150,0
3/31/2022 11:59:59 PM,64552,0
3/31/2022 11:59:59 PM,64730,0
3/31/2022 11:59:59 PM,65205,0
3/31/2022 11:59:59 PM,65513,0
3/31/2022 11:59:59 PM,65559,0
3/31/2022 11:59:59 PM,65858,0
3/31/2022 11:59:59 PM,66154,0
3/31/2022 11:59:59 PM,66275,2541
3/31/2022 11:59:59 PM,66677,0
3/31/2022 11:59:59 PM,67142,0
3/31/2022 11:59:59 PM,67151,3264
3/31/2022 11:59:59 PM,67209,1094
3/31/2022 11:59:59 PM,67254,0
3/31/2022 11:59:59 PM,67656,0
3/31/2022 11:59:59 PM,67870,3677
3/31/2022 11:59:59 PM,68671,0
3/31/2022 11:59:59 PM,68756,0
3/31/2022 11:59:59 PM,68831,0
3/31/2022 11:59:59 PM,69333,0
3/31/2022 11:59:59 PM,69678,4276
3/31/2022 11:59:59 PM,70218,81
3/31/2022 11:59:59 PM,70414,0
3/31/2022 11:59:59 PM,70638,0
3/31/2022 11:59:59 PM,70955,0
3/31/2022 11:59:59 PM,71073,0
3/31/2022 11:59:59 PM,71457,0
3/31/2022 11:59:59 PM,71859,0
3/31/2022 11:59:59 PM,72258,3768
3/31/2022 11:59:59 PM,72351,0
3/31/2022 11:59:59 PM,72454,0
3/31/2022 11:59:59 PM,72678,0
3/31/2022 11:59:59 PM,73116,8715
3/31/2022 11:59:59 PM,73152,0
3/31/2022 11:59:59 PM,73554,0
3/31/2022 11:59:59 PM,73956,0
3/31/2022 11:59:59 PM,74056,2018
3/31/2022 11:59:59 PM,74140,0
3/31/2022 11:59:59 PM,74403,0
3/31/2022 11:59:59 PM,74449,0
3/31/2022 11:59:59 PM,75259,10238
3/31/2022 11:59:59 PM,75446,0
3/31/2022 11:59:59 PM,75455,0
3/31/2022 11:59:59 PM,75633,3708090
3/31/2022 11:59:59 PM,75651,0
3/31/2022 11:59:59 PM,76153,0
3/31/2022 11:59:59 PM,76443,0
3/31/2022 11:59:59 PM,76854,0
3/31/2022 11:59:59 PM,77150,0
3/31/2022 11:59:59 PM,77253,0
3/31/2022 11:59:59 PM,77422,0
3/31/2022 11:59:59 PM,77851,8036
3/31/2022 11:59:59 PM,78157,0
3/31/2022 11:59:59 PM,78241,0
3/31/2022 11:59:59 PM,78559,0
3/31/2022 11:59:59 PM,79042,4183
3/31/2022 11:59:59 PM,79127,0
